title	category
အကောင်းဆုံး အော်စကာ ဇာတ်ကားဆု 	3
မနေ့ညက ကျင်းပတဲ့ အကယ်ဒမီ ဆုပေးပွဲမှာ	3
ပထမဆုံးအကြိမ် Oscar ဆုရရှိတော့ အခမ်းအနား ပရိသတ်က သူ့ကို မတ်တပ်ရပ် ဂုဏ်ပြုခဲ့ပါတယ်	3
အကောင်းဆုံး အမျိုးအမီး သရုပ်ဆောင်ဆု	3
ဇာတ်ကားနှင့် ဇာတ်ဝင်ခန်း တစ်ခန်းအား တွေ့ရစဉ်	3
“Spotlight” ဇာတ်ကားသည် ဖေဖော်ဝါရီလ ၂၈ ရက်ညက Dolby ပြဇာတ်ရုံတွင် ပြုလုပ်ခဲ့သော 	3
 ဇာတ်ကား တွင် ပြန်ပေးဆွဲ ခံထားရသည့် အမျိုးသမီး တစ်ယောက် ၏ ဇာတ်ရုပ်ကို ပိုင်ပိုင်နိုင်နိုင် 	3
အော်စကာ ဆန်ကာတင် စာရင်းတွင် ခြောက်ကြိမ် ပါဝင်ခဲ့ပြီးနောက် အသက် ၄၁ အရွယ် ဟောလီးဝုဒ်မင်းသား လီယိုနာဒို ဒီကာပရီယိုသည်	3
သရုပ်ဆောင်နိုင်ခဲ့သောကြောင့် ထိုသို့အော်စကာဆုကို ဆွတ်ခူးခဲ့ခြင်း ဖြစ်သည်။ အသက် ၂၆ နှစ်အရွယ် 	3
ဘရီလာဆန်သည် Brooklyn ဇာတ်ကား မှ မင်းသမီး	3
ဟောလီးဝုဒ်မင်းသား လီယိုနာဒို ဒီကာပရီယို “The Revenant” ဇာတ်ကားဖြင့် အော်စကာဆုရရှိ	3
ကျွဲရိုင်း၏ အသည်းကို အစိမ်းလိုက် စားပြရသောကြောင့် မုတ်ဆိတ်ရှည်ကြီးများ တစ်နှစ်ခွဲ ထားရှိခဲ့ခြင်း 	3
အော်စကာဆုပေးပွဲမှာ အကောင်းဆုံး ဖြစ်ရပ်မှန် မှတ်တမ်း ရုပ်ရှင် ရိုက်ကူးခဲ့သူ ဒါရိုက်တာဆု ရရှိသွားခဲ့တဲ့ အမျိုးသမီး 	3
