title	category
မန်စီးတီးတွင် လိုအပ်တာမှန်သမျှ ရရှိနေဟု ဂွါဒီယိုလာ ပြော	2
မန်စီးတီးအသင်းမှာ လိုအပ်တာမှန်သမျှ ရရှိနေတယ်လို့ နည်းပြ ဂွါဒီယိုလာက ပြောကြားလိုက်ပါတယ်။	2
 ဂွါဒီယိုလာဟာ မန်စီးတီးအသင်းကနေ ထွက်ခွာပြီး စပိန်နဲ့ 	2
သတင်း အားကစား	2
အန်ဒွန်ဘီလီကို ကလပ်စံချိန်တင်ပြောင်းရွှေ့ကြေးဖြင့် စပါးခေါ်မည်	2
စပါးအသင်းဟာ လိုင်ယွန်ကွင်းလယ် အန်ဒွန်ဘီလီကို ကလပ်စံချိန်တင်ပြောင်းရွှေ့ကြေးနဲ့ ခေါ်ယူဖို့ နီးစပ်နေပြီဖြစ်ပါတယ်။	2
 စပါးအသင်းအနေနဲ့ ပြင်သစ်လက်ရွေးစင် အန်ဒွန်ဘီလီအတွက် ကနဦးaပးချေမှုအနေနဲ့ 	2
သတင်း အားကစား	2
ရာဘီရော့တ်ဟာ ဂျူဗင်တပ်စ်သို့ပြောင်းရွှေ့ရန် ဆေးစစ်မှုခံရယူ	2
ပီအက်စ်ဂျီအသင်းရဲ့ ကွင်းလယ်ကစားသမား ရာဘီရော့တ်ဟာ ဂျူဗင်တပ်အသင်းကို အပြီးသတ်ပြောင်းရွှေ့နိုင်ဖို့ တူရင်မြို့ကို  ဆေးစစ်ဖို့ ရောက်ရှိနေပါတယ်။	2
 ပီအက်စ်ဂျီအသင်းနဲ့ မကြာခင်မှာ 	2
သတင်း အားကစား	2
အင်တာနည်းပြသစ် ကစားသမားသစ်များ ခေါ်ယူမည်	2
အင်တာမီလန်နည်းပြသစ် ကွန်တီဟာ အသင်းရဲ့ နာမည်ကြီး ကစားသမားတွေဖြစ်တဲ့ အီကာဒီ၊ နိုင်ဂိုလန်တို့လို ကစားသမားတွေကို ရောင်းထုတ်ပြီး ကစားသစ်တွေ 	2
သတင်း အားကစား	2
အင်္ဂလန်အမျိုးသမီးအသင်း ချန်ပီယံဖြစ်ပါက အဲလန်ဝှိုက်နှင့်မီလီဘရိုက်တို့ မီလျံနာဖြစ်လာဖွယ်ရှိ	2
အင်္ဂလန်အမျိုးသမီးအသင်း ကမ္ဘာ့ဖလားချန်ပီယံဖြစ်ခဲ့မယ်ဆိုရင် အဲလန်ဝှိုက်နဲ့ မီလီဘရိုက်တို့ နှစ်ဦးဟာ ညတွင်းချင်းမီလျံနာတွေဖြစ်လာဖို့ ရှိနေပါတယ်။	2
 အသင်းအတွက် ခြေစွမ်းတွေပြထားနိုင်တဲ့ ဝှိုက်နဲ့ 	2
သတင်း အားကစား	2
ရိုဒရီကို ပေါင် ၆၃ သန်းဖြင့် မန်စီးတီးအသင်း အပြီးသတ်ခေါ်ယူနိုင်တော့မည်	2
ပရီးမီးယားလိဂ်ချန်ပီယံ မန်ချက်စတာစီးတီးအသင်းဟာ အက်သလက်တီကို မက်ဒရစ်အသင်းရဲ့ အသက် ၂၂ နှစ်အရွယ် ကွင်းလယ်ဖန်တီးရှင် ရိုဒရီကို ပေါင် 	2
သတင်း အားကစား	2
ဂရစ်ဇ်မန်းကို ဘာစီလိုနာက ခေါ်ယူမည့်သတင်းများ ပြန်လည်ထွက်ပေါ်	2
ဘာစီလိုနာအသင်းနဲ့ အိပ်ယာဝင်ပုံပြင်တပုဒ်လို ဖြစ်နေခဲ့တဲ့ အက်သလက်တီကိုမက်ဒရစ် တိုက်စစ်မှူး ဂရစ်ဇ်မန်းရဲ့ အပြောင်းအရွှေ့ တဖန်ပြန်လည်လှုပ်ခတ်လာခဲ့ပြန်ပါတယ်။	2
 ပြင်သစ်သတင်းမီဒီယာတွေရဲ့ ဖော်ပြချက်အရဆိုရင်တော့	2
ဂျူဗင်တပ်နောက်ခံလူ ကန်ဆယ်လိုကို ခေါ်ယူနိုင်ရန် မန်စီးတီး နီးစပ်	2
 	2
မန်စီးတီးအသင်းဟာ ဂျူဗင်တပ်အသင်းရဲ့ ပေါ်တူဂီလက်ရွေးစင် နောက်ခံလူ ကန်ဆယ်လိုကို ခေါ်ယူနိုင်ဖို့ နီးစပ်နေပြီလို့ သိရပါတယ်။	2
