title	category
ဘားအံမြို့တွင် မိခင်ကို သားဖြစ်သူက ပေါက်တူးဖြင့် ခုတ်သတ်မှုဖြစ်ပွား	0
ကရင်ပြည်နယ် ဘားအံမြို့ အမှတ် ၁ ရပ်ကွက် လှာကမြင်လမ်းမှာ အရက်မူးနေတဲ့ 	0
သားဖြစ်သူက ပေါက်တူးနဲ့ခုတ်ခဲ့တဲ့အတွက်ကြောင့် မိခင်ရင်းဖြစ်သူ	0
ပုဏ္ဏားကျွန်းတွင် တညင်းခင်းသွားသည့် အရပ်သားတဦး မိုင်းနင်းမိ၊ ဒဏ်ရာပြင်းထန်	0
ရခိုင်ပြည်နယ် ပုဏ္ဏားကျွန်းမြို့နယ် ဘဲငါးရာတောင်တန်းမှာရှိတဲ့ ထုံးဗူး 	0
ကျေးရွာသားတဦးဟာ ဇွန်လ ၂၂ ရက်နေ့ မနက်ပိုင်းက မိုင်းနင်းမိပြီး	0
ကလေးမြို့တွင် နေအိမ် မီးလောင်	0
စစ်ကိုင်းတိုင်း ကလေးမြို့ တောင်ဇလပ်ရပ်ကွက်မှာ ဒီနေ့မနက်ပိုင်းက နေအိမ်တလုံး 	0
မီးလောင်မှု ဖြစ်ပွားခဲ့ပြီး သိန်းသုံးဆယ်ကျော်ဖိုး ဆုံးရှုံးခဲ့တယ်လို့ ကလေးခရိုင်	0
ကျောင်းဆရာမဖြစ်အောင် လုပ်ပေးမည်ဟုဆိုပြီး ငွေလိမ်တောင်းသူကို အမှုဖွင့်အရေးယူ	0
မန္တလေးတိုင်း၊ ပြင်ဦးလွင်ခရိုင်၊ မိုးကုတ်မြို့နယ်မှာ ပညာရေးဝန်ထမ်း 	0
ကျောင်းဆရာမဖြစ်အောင် ပြုလုပ်ပေးမယ်လို့ ပြောဆိုပြီးအမျိုးသမီးတဦးဆီကနေ 	0
ငွေကြေးလိမ်လည်ရယူခဲ့သူကို ဇွန်လ	0
မိုက်ကယ်ကျော်မြင့်အမှု တရားလို မလာရောက်နိုင်သဖြင့် ရုံးချိန်းထပ်မံ ချိန်းဆို	0
နိုင်ငံတော် အကြည်အညိုပျက်စေမှု ပုဒ်မ ၅၀၅(ခ)နဲ့ တရားစွဲဆိုထားတဲ့ 	0
မိုက်ကယ်ကျော်မြင့်နဲ့ သီဟမျိုးနိုင်တို့ကို ဇွန် ၂၁ ရက်နေ့	0
ကျေးရွာအုပ်ချုပ်ရေးမှူးနှင့် ရာအိမ်မှူး၊ ဆယ်အိမ်မှူး၅ ဦးကို ကေအန်ယူက ဖမ်းဆီးထား	0
ကရင်ပြည်နယ်၊ ဘားအံမြို့နယ်၊ မိဇိုင်းကျေးရွာအုပ်စုရှိ ကျေးရွာတွေက အုပ်ချုပ်ရေးမှူးနဲ့ 	0
ရာအိမ်မှုး/ဆယ်အိမ်မှုး ၅ဦးတို့ကို ဖမ်းဆီးထားတယ်လို့ကရင်အမျိုးသားအစည်းအရုံး 	0
ဘားအံခရိုင် မီဇိုင်းတောင်ခြေ၌ ရွာသား ၁ ဦး မျှစ်ချိုးသွားစဉ် မြေမြှုပ်မိုင်းထိ	0
ကရင်ပြည်နယ်၊ ဘားအံခရိုင်၊ မီးဇိုင်းတောင်ခြေမှာ ရွာသားတဦး ဇွန် ၁၈ ရက်နေ့က 	0
မြေမြှုပ်မိုင်းနင်းမိ ပေါက်ကွဲပြီး ယာဘက်ခြေထောက်	0
ရဲမှူး ၁ ဦး ပါးစပ်ကို သေနတ်ဖြင့် တေ့ပစ်ပြီး သေဆုံး	0
 မန္တလေးဗဟိုအကျဉ်းထောင်ထဲမှာ အောင်သပြေရွာသား ကိုထွန်းမြင့်ဝင်း သေဆုံးသွားတဲ့	0
 မျိုးညွှန့်သန်းဟာ	0
မှုခင်း သတင်း	0
မြောင်းမြထောင်တွင် ထောင်ဝင်စာလာတွေ့သည့် အမျိုးသမီးထံက မူးယစ်ဆေးများ	0
ဖမ်းမိ	0
မြောင်းမြအကျဉ်းထောင်မှာ ဇွန်လ ၁၁ ရက်ညနေပိုင်းက ထောင်ဝင်စာလာတွေတဲ့ 	0
မျိုးသမီးတဦး ယူဆောင်လာတဲ့ ကြက်သွန်နီတွေထဲက WY မူးယစ်ဆေးပြားတွေနဲ့	0
မှုခင်း သတင်း နိုင်ငံတကာ	0
အိန္ဒိယတွင် ၈ နှစ်အရွယ် မိန်းကလေးကို အဓမ္မပြုကျင့်သတ်ဖြတ်သူ ၃ ဦးအား ထောင်ဒဏ်တသက် ချမှတ်	0
အိန္ဒိယနိုင်ငံက ဂျမူးနဲ့ ကက်ရှ်မီးယားပြည်နယ်တွေမှာ ၂၀၁၈ ခုနှစ်က အသက် ၈နှစ်အရွယ် မွတ်စလင် မိန်းကလေးတယောက်	0
မှုခင်း သတင်း	0
ကျောက်တော်မြို့နယ်၊ ဖက်ဝမ်းချောင်းရွာအုပ်ချုပ်ရေးမှူး မြေမြုပ်မိုင်းထိမှန် ဒဏ်ရာရ	0
ရခိုင်ပြည်နယ်၊ ကျောက်တော်မြို့နယ်၊ ဖက်ဝမ်းချောင်းကျေးရွာက အုပ်ချုပ်ရေးမှူးတဦး 	0
မြေမြုပ်မိုင်းနင်းမိ ပေါက်ကွဲခဲ့တာကြောင့် ခြေထောက်နှစ်ဖက်လုံး ဒဏ်ရာရပြီး 	0
ကျောက်တော်ဆေးရုံမှာ အတွင်းလူနာအဖြစ်	0
မှုခင်း သတင်း	0
မိုးညှင်းဆေးရုံကြီးတွင် မွေးကင်းစ ကလေးငယ်အလောင်း စွန့်ပစ်ခံရ	0
