title	category
သာဒီးလူ ကိုယ်တိုင်ရေး၊ ကိုယ်တိုင်သီဆိုထားသည့် သီချင်း-အိပ်မက်မဉ္ဇူရီ(ရုပ်သံ)	4
အရင်ဒဏ်ရာတွေတောင် မကျက်သေးဘူး ငါ့ဆီမှာ နင့်ရဲ့ အမှတ်တရများ စိတ်ထောင်းလို့ ကိုယ်ကြေ အမာရွတ်အပြည့်နဲ့ ဒီ နာကျင်နေတဲ့ 	4
အနုပညာ ရုပ်သံ	4
ဂျပ်ဆင်ထိပ်ကလရိပ်ပြာသီချင်းကို ဒီဗွီဘီ စတီဒီယိုမှာ သီဆိုပြခဲ့တဲ့ မယ်လိုဒီခေါင် (ရုပ်သံ)	4
The Voice Myanmar Season 2 သီချင်းဆိုပြိုင်ပွဲမှာ နောက်ဆုံးဆန်ကာတင် ဖိုင်နယ်ထိ တက်ရောက်နိုင်ခဲ့တဲ့ မယ်လိုဒီခေါင်က 	4
ကြည့်ရှုသူ သိန်းချီရှိနေသည့် မိစန္ဒီရဲ့ အလန်းစားသီချင်းသစ် ပြိုင်ဆိုင်မှုတွေပြင်းထန်နေတယ် (ရုပ်သံ)	4
လူငယ်ပရိသတ်တွေကြား ရေပန်းစားအားပေးမှုတွေနဲ့ အခိုင်အမာရပ်တည်ခဲ့တဲ့ ဟစ်ပ်ဟော့ပ်နဲ့ အာရ်အဲန်ဘီအဆိုတော် မိစန္ဒီရဲ့ သီချင်းသစ်တပုဒ်ဟာ ထွက်ရှိပြီး ၄ ရက်အတွင်း 	4
သတင်း အနုပညာ နိုင်ငံတကာ ရုပ်သံ	4
BET ဆုပေးပွဲတွင် ခင်ပွန်းသည်နှင့် အပြိုင်ကြဲ ဖျော်ဖြေခဲ့သည့် နာမည်ကျော် အမျိုးသမီးရက်ပ်ပါ ကာဒီဘီ (ရုပ်သံ)	4
နာမည်ကြီး အမျိုးသမီးရက်ပ်ပါတဦးဖြစ်တဲ့ ကာဒီဘီဟာ ခင်ပွန်းဖြစ်သူနဲ့အတူ BET ဆုပေးပွဲမှာ သီချင်းသစ်တပုဒ်ကို အတူဖျော်ဖြေသီဆိုခဲ့ပြီး ဒီသီချင်းဟာ ပရိသတ်တွေကြား 	4
Movie Crazy သတင်း အနုပညာ နိုင်ငံတကာ ရုပ်သံ	4
ကျိန်စာသင့် မကောင်းဆိုးဝါး အရုပ်ကလေး ပြန်လာပြီ – Annabelle Comes Home ရုပ်ရှင် (နမူနာ)	4
နာမည်ကြီး ဟောလိဝုဒ် Supernatural Horror အမျိုးအစား ရုပ်ရှင် Annabelle Comes Home ကို 	4
Movie Crazy သတင်း အနုပညာ နိုင်ငံတကာ ရုပ်သံ	4
ဘီတဲလ်စ်မရှိတဲ့ ကမ္ဘာ၊ ဘီတဲလ်စ်မသိတဲ့ ကမ္ဘာအကြောင်း ရုပ်ရှင် – Yesterday (နမူနာ)	4
နာမည်ကြီး ရော့ခ်ဂီတအဖွဲ့တဖွဲ့ဖြစ်တဲ့ The Beatles သီချင်းတွေနဲ့ ဇာတ်လမ်းတည် ရိုက်ကူးထားတဲ့ ဟောလိဝုဒ်ရုပ်ရှင် Yesterday ကို 	4
သတင်း အနုပညာ ရုပ်သံ	4
‘တကျော့နှစ်ကျော့တေးကိုသီ’ သီချင်းကို တီးလုံးမပါဘဲ ပြန်ဆိုပြခဲ့သည့် ဟေဇယ်လ် (ရုပ်သံ)	4
